timestamp_utc,timestamp_uts,track_url,track_name,artist_name
2026-08-19 17:50:02,1787172602,https://www.last.fm/music/Drake/_/Don%E2%80%99t+Matter+To+Me+(with+Michael+Jackson),Don’t Matter To Me (with Michael Jackson),Drake
2026-08-19 17:27:29,1787171249,https://www.last.fm/music/Drake/_/Don%E2%80%99t+Matter+To+Me+(with+Michael+Jackson),Don’t Matter To Me (with Michael Jackson),Drake
2026-08-18 10:15:37,1787058937,https://www.last.fm/music/Drake/_/Don%E2%80%99t+Matter+To+Me+(with+Michael+Jackson),Don’t Matter To Me (with Michael Jackson),Drake
2026-08-17 18:06:31,1787000791,https://www.last.fm/music/Drake/_/Don%E2%80%99t+Matter+To+Me+(with+Michael+Jackson),Don’t Matter To Me (with Michael Jackson),Drake
2026-08-14 22:09:58,1786756198,https://www.last.fm/music/Drake/_/Don%E2%80%99t+Matter+To+Me+(with+Michael+Jackson),Don’t Matter To Me (with Michael Jackson),Drake
2026-08-14 10:27:54,1786714074,https://www.last.fm/music/Drake/_/Don%E2%80%99t+Matter+To+Me+(with+Michael+Jackson),Don’t Matter To Me (with Michael Jackson),Drake
2025-11-19 07:53:37,1763549617,https://www.last.fm/music/Drake/_/Don%E2%80%99t+Matter+To+Me+(with+Michael+Jackson),Don’t Matter To Me (with Michael Jackson),Drake
2025-11-14 05:27:44,1763108864,https://www.last.fm/music/Drake/_/Don%E2%80%99t+Matter+To+Me+(with+Michael+Jackson),Don’t Matter To Me (with Michael Jackson),Drake
2025-11-13 16:00:37,1763060437,https://www.last.fm/music/Drake/_/Don%E2%80%99t+Matter+To+Me+(with+Michael+Jackson),Don’t Matter To Me (with Michael Jackson),Drake
2025-10-03 16:20:21,1759519221,https://www.last.fm/music/Kanye+West/_/Real+Friends,Real Friends,Kanye West
2025-09-05 22:02:24,1757120544,https://www.last.fm/music/Kanye+West/_/Real+Friends,Real Friends,Kanye West
2025-09-04 09:00:05,1756987205,https://www.last.fm/music/Kanye+West/_/Real+Friends,Real Friends,Kanye West
2025-08-27 14:40:15,1756316415,https://www.last.fm/music/Drake/_/Make+Me+Proud,Make Me Proud,Drake
2025-08-19 08:54:56,1755604496,https://www.last.fm/music/Drake/_/Make+Me+Proud,Make Me Proud,Drake
2026-08-25 17:56:45,1787691405,https://www.last.fm/music/Drake/_/Don%E2%80%99t+Matter+To+Me+(with+Michael+Jackson),Don’t Matter To Me (with Michael Jackson),Drake
