iter	Logloss
114	0.3186514448
115	0.3176224223
116	0.3167277974
117	0.315754857
118	0.3151711321
119	0.3144739888
120	0.3144344041
121	0.3129263288
122	0.3122301905
123	0.3112405373
124	0.3104122905
125	0.3099859078
126	0.3085442829
127	0.3081093673
128	0.3075804698
129	0.3062264671
130	0.3053582329
131	0.3044054572
132	0.3034898343
133	0.3028085085
134	0.3018867608
135	0.3010369363
136	0.2997040883
137	0.2989966605
138	0.2988096783
139	0.2975058484
140	0.2966368353
141	0.2961620693
142	0.2953283128
143	0.2943838763
144	0.2934457418
145	0.2925095053
146	0.2915740597
147	0.2908502587
148	0.2901285244
149	0.2897698992
150	0.288905197
151	0.2879707763
152	0.2873352853
153	0.286721892
154	0.2856926738
155	0.2848135007
156	0.2844981734
157	0.2834849066
158	0.2827394629
159	0.2818520681
160	0.2810256793
161	0.2801918609
162	0.2792767138
163	0.2784488598
164	0.2778507724
165	0.2765227964
166	0.2755863278
167	0.2750196693
168	0.2742666394
169	0.2733748861
170	0.272432469
171	0.271737352
172	0.2708538539
173	0.2700161188
174	0.2691346985
175	0.2680885117
176	0.2673851734
177	0.266702947
178	0.2658953811
179	0.2653195071
180	0.2649697622
181	0.264220921
182	0.2631755535
183	0.2621540653
184	0.2614939116
185	0.2607857245
186	0.2600110219
187	0.2588866525
188	0.2583871364
189	0.2577126742
190	0.2575097144
191	0.2569452248
192	0.2563484408
193	0.2555633337
194	0.2548088449
195	0.254036143
196	0.2532321028
197	0.2524094484
198	0.2516678781
199	0.2509583094
200	0.2503337414
201	0.2499014512
202	0.2493270503
203	0.2486036911
204	0.2481793598
205	0.2473485286
206	0.2461950279
207	0.2458257546
208	0.2453443819
209	0.2445187722
210	0.2433515652
211	0.2427105458
212	0.2423453654
213	0.2417592033
214	0.241306922
215	0.2401321733
216	0.239523832
217	0.2385401808
218	0.2377667745
219	0.2372963043
220	0.2365674868
221	0.2356935657
222	0.2352223169
223	0.2345391042
224	0.233760743
225	0.2329130389
226	0.2323969573
227	0.2313509071
228	0.2307858806
229	0.2302789151
230	0.2295793464
231	0.2284527634
232	0.2276048917
233	0.2269171121
234	0.2257938264
235	0.225366623
236	0.2246922762
237	0.2242028136
238	0.2236697031
239	0.2227771092
240	0.2221265412
241	0.2216587214
242	0.2212689664
243	0.2202909651
244	0.219755273
245	0.2192102485
246	0.2184419715
247	0.2177027509
248	0.2167708779
249	0.2161803569
250	0.2155622731
251	0.2146329526
252	0.2143556483
253	0.2137555735
254	0.213177441
255	0.2123634246
256	0.2115756971
257	0.2107894908
258	0.2100571634
259	0.208839165
260	0.2082554886
261	0.2077223091
262	0.2071869297
263	0.2065176955
264	0.2059766914
265	0.2054797977
266	0.2054250401
267	0.2051442948
268	0.2046607267
269	0.2039615165
270	0.2036782763
271	0.2032656536
272	0.2030677644
273	0.2024066725
274	0.2017253167
275	0.2012005061
276	0.2004733574
277	0.2000800197
278	0.1996650255
279	0.1993553688
280	0.1988216359
281	0.1981804716
282	0.1975224099
283	0.1968001681
284	0.1962424266
285	0.1956989543
286	0.1947770604
287	0.1945610615
288	0.1941413989
289	0.1937482393
290	0.1931165152
291	0.1926332908
292	0.1921250527
293	0.1916613301
294	0.1906584427
295	0.1898539977
296	0.1892693688
297	0.1884955405
298	0.1879978018
299	0.1872432639
300	0.1866828207
301	0.1859278103
302	0.1854699353
303	0.1849948901
304	0.184185142
305	0.1834402208
306	0.183072695
307	0.1826101755
308	0.1821502879
309	0.1816151346
310	0.1811166237
311	0.1803140127
312	0.1800943142
313	0.1796367881
314	0.1793777885
315	0.1790552733
316	0.178789706
317	0.178529183
318	0.1783302099
319	0.1777215372
320	0.177420336
321	0.1767686702
322	0.1762196521
323	0.1756987435
324	0.174895822
325	0.1740248325
326	0.1736222581
327	0.173345599
328	0.1727267821
329	0.1722770053
330	0.1718527916
331	0.1712982808
332	0.1711476384
333	0.1708926236
334	0.1703544055
335	0.1700158323
336	0.1692153745
337	0.16851918
338	0.1678139892
339	0.1676725543
340	0.1671747944
341	0.1667208928
342	0.1661069039
343	0.1658916271
344	0.1656925272
345	0.1652073638
346	0.164687331
347	0.1643927906
348	0.1637579308
349	0.1629384882
350	0.1626940742
351	0.1625103713
352	0.1620638857
353	0.1612642189
354	0.1606542711
355	0.1600486582
356	0.1598213058
357	0.1596402341
358	0.1593602624
359	0.1589051275
360	0.1586214487
361	0.1583837611
362	0.1578934882
363	0.157198418
364	0.1567954985
365	0.1562934016
366	0.1560484559
367	0.1559183834
368	0.1551878702
369	0.1546094435
370	0.1540537425
371	0.1538437484
372	0.1534580304
373	0.1529746351
374	0.152524669
375	0.1519879186
376	0.1516395071
377	0.1509806467
378	0.1504758564
379	0.1498510237
380	0.1494353302
381	0.1489368416
382	0.148496103
383	0.148218055
384	0.1477619184
385	0.1473661279
386	0.146857012
387	0.1467144323
388	0.1464408758
389	0.1459571317
390	0.1456018454
391	0.1453236526
392	0.1450430829
393	0.1448699723
394	0.1446196003
395	0.144403967
396	0.1439435246
397	0.1435094403
398	0.1428645966
399	0.142434965
400	0.1418934145
401	0.1412936634
402	0.140996537
403	0.1406696118
404	0.1401887149
405	0.1397910659
406	0.1392946345
407	0.1389601323
408	0.1385928406
409	0.138323466
410	0.1378779821
411	0.1375634433
412	0.1373567362
413	0.1371744275
414	0.1365938299
415	0.1362156678
416	0.13567952
417	0.1350685798
418	0.1347532547
419	0.1345106142
420	0.1340740354
421	0.1337752559
422	0.1332826907
423	0.1328630882
424	0.1326359279
425	0.1324353391
426	0.1320872254
427	0.1315733267
428	0.131334938
429	0.1311125376
430	0.1308757949
431	0.1304502416
432	0.1300708022
433	0.129869838
434	0.1297277695
435	0.1294152629
436	0.1293811018
437	0.1291321607
438	0.1288511966
439	0.1286197309
440	0.1282644836
441	0.1279094635
442	0.1275553393
443	0.1273059477
444	0.127084103
445	0.1269340649
446	0.1266427161
447	0.126155866
448	0.1256691038
449	0.1253565971
450	0.1250733513
451	0.1248243043
452	0.1243134733
453	0.1238641984
454	0.1235257714
455	0.1230307614
456	0.1228849938
457	0.1227674775
458	0.1225033171
459	0.1224619576
460	0.1220433743
461	0.1216795612
462	0.1213946339
463	0.121025977
464	0.120904349
465	0.1207192613
466	0.1204806005
467	0.1201536734
468	0.1200726921
469	0.1195100151
470	0.1192952005
471	0.1190453793
472	0.1187785837
473	0.118297944
474	0.1179950605
475	0.1177468968
476	0.1174220267
477	0.1172339321
478	0.1167379209
479	0.1165525694
480	0.116127701
481	0.1157409285
482	0.1154608065
483	0.1151554089
484	0.1148128721
485	0.1142839884
486	0.1139060812
487	0.1133685277
488	0.1132662735
489	0.1127105695
490	0.1122330743
491	0.1118136437
492	0.1116633198
493	0.1114783539
494	0.1111750067
495	0.1109416742
496	0.1108593317
497	0.1106954208
498	0.1105493609
499	0.1104793957
