iter	Logloss
0	0.6693802748
1	0.6478614699
2	0.6279750623
3	0.6125178373
4	0.5972287597
5	0.5814340286
6	0.5686711318
7	0.5565068136
8	0.5447685767
9	0.5339241855
10	0.524225668
11	0.5154929959
12	0.506884932
13	0.4995268086
14	0.4921352323
15	0.4875507636
16	0.4833515963
17	0.4789040753
18	0.473473787
19	0.469400521
20	0.464204616
21	0.4610602447
22	0.4565194097
23	0.4515669968
24	0.4474710874
25	0.4440764211
26	0.4413403316
27	0.4385919797
28	0.4355956916
29	0.4327347522
30	0.429732823
31	0.4277958222
32	0.4247043511
33	0.4225618036
34	0.4198353612
35	0.4170657456
36	0.4143852214
37	0.4129420187
38	0.4103052141
39	0.4081964548
40	0.4060875892
41	0.4038404141
42	0.4024539266
43	0.4003808949
44	0.3986679912
45	0.3964908008
46	0.3944174854
47	0.392868927
48	0.391318845
49	0.3897749671
50	0.3884213648
51	0.3873123812
52	0.3861314688
53	0.3840726808
54	0.3821998
55	0.3807855844
56	0.3794284614
57	0.3788110139
58	0.378020714
59	0.3761430489
60	0.3749628427
61	0.3731860313
62	0.371913975
63	0.3702368503
64	0.3692230585
65	0.3675878402
66	0.3662722849
67	0.3649441577
68	0.3638895229
69	0.3626281224
70	0.3610251268
71	0.3598055485
72	0.3586348375
73	0.3571445801
74	0.3557040224
75	0.3548451455
76	0.3540764702
77	0.352729192
78	0.3518500044
79	0.3503886728
80	0.3494929904
81	0.3485656222
82	0.3474232242
83	0.3462588422
84	0.3456108775
85	0.344238484
86	0.3431759347
87	0.3424382542
88	0.3406915279
89	0.3393935674
90	0.3388386909
91	0.3375665275
92	0.3365822327
93	0.3359759219
94	0.3348289703
95	0.3337314249
96	0.3324668575
97	0.3319124375
98	0.3304154617
99	0.3294394779
100	0.3286095108
101	0.3277534376
102	0.3273151902
103	0.3267741845
104	0.3259125801
105	0.3255640486
106	0.3246773886
107	0.324066288
108	0.3234348394
109	0.3227433131
110	0.3215771036
111	0.3206382405
112	0.3198534979
113	0.3193039174
